year,month,bus_bank_card,bus_qr_card,bus_trans_card,metro_bank_card,metro_qr_card,metro_trans_card
2023,4,2271444,59137,4699782,2333534,4698005,3941889
2023,8,3012377,165252,4576534,1907398,5785967,3337769
2023,12,5221145,290511,8477147,3305419,5424711,4698942
2023,2,2502891,49636,5390975,2780694,5721338,4168136
2023,7,2675062,114247,4413889,1842004,5562320,3385601
2023,6,927147,749269,2467535,716046,3039184,1942511
2023,3,2610622,62220,5432210,2864393,6015241,4253155
2023,5,928188,22114,1755984,828783,1702255,1420487
2023,11,5006346,249965,8329120,3212197,5522781,4673428
2023,10,5502272,250393,7865339,3913863,6875467,5137044
2023,9,3674511,179992,5522322,2588598,5528975,3682339
2023,1,1647026,31597,3268662,1717162,4299416,2637095
2024,4,5019162,270426,7492974,3263726,4920161,4185145
2024,8,5218218,304835,5875980,2809082,5630662,3432921
2024,12,11286384,484290,8785667,5551100,5946505,4578269
2024,2,5759214,272727,9080228,3612695,5355514,4874409
2024,7,5195610,326661,6272110,2925587,5651646,3617778
2024,6,5452006,323994,6434272,3246038,5543615,3754638
2024,3,6083958,292464,9016203,3904452,5877792,5017438
2024,5,4979127,287061,6874983,3070876,4671513,3769356
2024,11,11168133,454312,8986947,6059676,6650080,4913135
2024,10,10728017,457604,9355854,6142673,7302125,5192374
2024,9,8450651,396253,8222004,5140575,7596396,4708064
2024,1,3838749,227544,6054751,2465173,4365438,3462285
2025,4,23063916,2055528,16436389,8291535,2373766,6458761
2025,8,19808431,1604891,10353955,5755586,1458991,3868220
2025,2,19335656,1274198,14598699,7167684,2274249,6455385
2025,7,19657096,1620911,10858362,5995856,1640645,4063642
2025,6,20269783,1911291,11325029,6947399,1938828,4629225
2025,3,19942338,1442624,14902194,7175097,2151508,5943547
2025,5,23976463,2279199,14810087,8663837,2416702,6088222
2025,9,26421515,2469415,12842899,9170758,1469632,5137232
2025,1,18823367,1132378,14570918,12727922,5564518,11077355
